Surge (m),Sway (m),Heave (m),Roll (deg),Pitch (deg),Yaw (deg),Vessel x0Acc rel. g (m/s^2),Vessel y0Acc rel. g (m/s^2),Vessel z0Acc rel. g (m/s^2),Vessel x0Ang Vel (deg/s),Vessel y0Ang Vel (deg/s),Vessel z0Ang Vel (deg/s),Num Category
0.010653408,0.048233591,27.89046374,0.338838668,0.070987543,0.045691558,0.012855464,0.099009227,9.697080453,0.050506091,0.00632024,0.021472579,2
0.005262739,0.127209849,27.94835541,0.306626002,0.064189644,0.053698337,0.013583858,0.130486623,9.672728489,0.078901051,0.020602188,0.010321605,2
0.00056353,0.186764386,27.97322404,0.259587449,0.050573675,0.055635152,0.012515135,0.147138007,9.663143909,0.109432037,0.033426746,0.002422608,2
0.003146452,0.220994422,27.96274208,0.197216536,0.031336581,0.051237271,0.009121854,0.138412575,9.671105168,0.139812398,0.042881612,0.014510097,2
0.005901201,0.229378319,27.91880981,0.120249136,0.00857902,0.041561744,0.003992885,0.107654969,9.694250949,0.167302122,0.047352304,0.023234864,2
0.008005832,0.21610581,27.84703858,0.030969705,0.015028374,0.02866599,0.001427155,0.06605341,9.727193452,0.188508966,0.046230085,0.027475161,2
0.009822457,0.187785789,27.75553764,0.066677481,0.036740458,0.014827614,0.006556185,0.016521443,9.765679349,0.200366534,0.039783311,0.027157502,2
0.011701132,0.152452485,27.653779,0.167428307,0.054106764,0.002252686,0.010535047,0.031807123,9.803647267,0.200620158,0.028992435,0.022703741,2
0.013878297,0.117694014,27.55115506,0.265071077,0.065354638,0.007370915,0.012577212,0.070284459,9.835724245,0.187783912,0.015590841,0.015694716,2
0.016379341,0.088928985,27.45567066,0.352960404,0.069662213,0.013246607,0.012722569,0.097567794,9.859172095,0.161685946,0.001574824,0.00789162,2
0.019048775,0.069138674,27.37319566,0.424712502,0.067193954,0.015372119,0.011090957,0.111523235,9.872309618,0.123511445,0.011146702,0.000762289,2
0.02158594,0.058739581,27.30705669,0.4748387,0.059008592,0.014404542,0.008090219,0.112663218,9.875444326,0.075658859,0.020987299,0.004521808,2
